aligned_name,TAXON_ID,taxon_name,COMMON_NAME,TaxaGroup,TAXON_TYPE,taxon_rank,Extinction_Risk,FFG_Status,Sci_Name_Alt
Glossopsitta porphyrocephala,10259,Glossopsitta porphyrocephala,Purple-crowned Lorikeet,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Glossopsitta porphyrocephala
Anthochaera chrysoptera,10637,Anthochaera chrysoptera,Little Wattlebird,Birds,Passerine birds,Species,NotListed,NotListed,Anthochaera chrysoptera
Varanus gouldii,12271,Varanus gouldii,Sand Goanna,Reptiles,Reptiles,Species,NotListed,NotListed,Varanus gouldii
Scotorepens orion,11811,Scotorepens orion,Eastern Broad-nosed Bat,Mammals,Bats,Species,NotListed,NotListed,Scotorepens orion
Egernia cunninghami,12408,Egernia cunninghami,Cunningham's Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Egernia cunninghami
Epthianura tricolor,10449,Epthianura tricolor,Crimson Chat,Birds,Passerine birds,Species,NotListed,NotListed,Epthianura tricolor
Chrysococcyx osculans,10341,Chrysococcyx osculans,Black-eared Cuckoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Chalcites osculans
Morethia obscura,12529,Morethia obscura,Obscure Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Morethia obscura
Petaurus australis australis,11136,Petaurus australis,Yellow-bellied Glider,Mammals,Mammals,Species,Australia,Vulnerable,Petaurus australis
Diplodactylus damaeus,12109,Diplodactylus damaeus,Beaded Gecko,Reptiles,Reptiles,Species,NotListed,NotListed,Lucasium damaeum
Amphibolurus nobbi,19000,Amphibolurus nobbi,Nobbi Dragon,Reptiles,Reptiles,Species,NotListed,NotListed,Diporiphora nobbi
Melithreptus gularis,10580,Melithreptus gularis,Black-chinned Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Melithreptus gularis
Egernia striolata,12429,Egernia striolata,Tree Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Egernia striolata
Pomatostomus ruficeps,10446,Pomatostomus ruficeps,Chestnut-crowned Babbler,Birds,Passerine birds,Species,NotListed,NotListed,Pomatostomus ruficeps
Lerista punctatovittata,12499,Lerista punctatovittata,Spotted Burrowing Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Lerista punctatovittata
Pseudophryne dendyi,13120,Pseudophryne dendyi,Dendy's Toadlet,Amphibians,Amphibians,Species,NotListed,NotListed,Pseudophryne dendyi
Epthianura aurifrons,10450,Epthianura aurifrons,Orange Chat,Birds,Passerine birds,Species,NotListed,NotListed,Epthianura aurifrons
Gerygone mouki,10454,Gerygone mouki,Brown Gerygone,Birds,Passerine birds,Species,NotListed,NotListed,Gerygone mouki
Crinia sloanei,13135,Crinia sloanei,Sloane's Froglet,Amphibians,Amphibians,Species,Australia,Endangered,Crinia sloanei
Amphibolurus norrisi,12209,Amphibolurus norrisi,Norris's Dragon,Reptiles,Reptiles,Species,NotListed,NotListed,Amphibolurus norrisi
Diplodactylus tessellatus,12076,Diplodactylus tessellatus,Tessellated Gecko,Reptiles,Reptiles,Species,NotListed,NotListed,Diplodactylus tessellatus
Porzana tabuensis,10051,Porzana tabuensis,Spotless Crake,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Zapornia tabuensis
Turnix velox,10018,Turnix velox,Little Button-quail,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Turnix velox
Mormopterus sp. 3,11809,Mormopterus sp. 3,Inland Freetail Bat,Mammals,Bats,Species,NotListed,NotListed,Ozimops petersi
Tringa nebularia,10158,Tringa nebularia,Common Greenshank,Birds,Waders,Species,Victoria,Endangered,Tringa nebularia
Tringa stagnatilis,10159,Tringa stagnatilis,Marsh Sandpiper,Birds,Waders,Species,Victoria,Endangered,Tringa stagnatilis
Egretta sacra,10191,Egretta sacra,Eastern Reef Egret,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Egretta sacra
Geopelia humeralis,10032,Geopelia humeralis,Bar-shouldered Dove,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Geopelia humeralis
Rankinia diemensis (Grampians),63941,Rankinia diemensis (Grampians),Mountain Dragon Grampians form,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Rankinia diemensis
Sminthopsis crassicaudata,11072,Sminthopsis crassicaudata,Fat-tailed Dunnart,Mammals,Mammals,Species,Victoria,Vulnerable,Sminthopsis crassicaudata
Cercartetus concinnus minor,11151,Cercartetus concinnus minor,Western Pygmy-possum,Mammals,Mammals,Species,NotListed,NotListed,Cercartetus concinnus
Sminthopsis murina murina,11061,Sminthopsis murina murina,Common Dunnart,Mammals,Mammals,Species,Victoria,Vulnerable,Sminthopsis murina
Pseudomys apodemoides,11457,Pseudomys apodemoides,Silky Mouse,Mammals,Mammals,Species,NotListed,NotListed,Pseudomys apodemoides
Scotorepens greyii,11362,Scotorepens greyii,Little Broad-nosed Bat,Mammals,Bats,Species,NotListed,NotListed,Scotorepens greyii
Platycercus elegans,10282,Platycercus elegans,Crimson Rosella,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Platycercus elegans
Petrochelidon nigricans,10359,Petrochelidon nigricans,Tree Martin,Birds,Passerine birds,Species,NotListed,NotListed,Petrochelidon nigricans
Pardalotus striatus,10976,Pardalotus striatus,Striated Pardalote,Birds,Passerine birds,Species,NotListed,NotListed,Pardalotus striatus
Pardalotus punctatus punctatus,10565,Pardalotus punctatus punctatus,Spotted Pardalote,Birds,Passerine birds,Species,NotListed,NotListed,Pardalotus punctatus
Strepera versicolor,10697,Strepera versicolor,Grey Currawong,Birds,Passerine birds,Species,NotListed,NotListed,Strepera versicolor
Strepera graculina,10694,Strepera graculina,Pied Currawong,Birds,Passerine birds,Species,NotListed,NotListed,Strepera graculina
Platycercus eximius,10288,Platycercus eximius,Eastern Rosella,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Platycercus eximius
Chalinolobus gouldii,11349,Chalinolobus gouldii,Gould's Wattled Bat,Mammals,Bats,Species,NotListed,NotListed,Chalinolobus gouldii
Pseudonaja textilis,12699,Pseudonaja textilis,Eastern Brown Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Pseudonaja textilis
Phaps chalcoptera,10034,Phaps chalcoptera,Common Bronzewing,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Phaps chalcoptera
Cincloramphus mathewsi,10509,Cincloramphus mathewsi,Rufous Songlark,Birds,Passerine birds,Species,NotListed,NotListed,Cincloramphus mathewsi
Psephotus haematonotus,10295,Psephotus haematonotus,Red-rumped Parrot,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Psephotus haematonotus
Lampropholis guichenoti,12451,Lampropholis guichenoti,Garden Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Lampropholis guichenoti
Threskiornis spinicollis,10180,Threskiornis spinicollis,Straw-necked Ibis,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Threskiornis spinicollis
Vanellus miles,10133,Vanellus miles,Masked Lapwing,Birds,Waders,Species,NotListed,NotListed,Vanellus miles
Sericornis frontalis,10488,Sericornis frontalis,White-browed Scrubwren,Birds,Passerine birds,Species,NotListed,NotListed,Sericornis frontalis
Chalinolobus morio,11351,Chalinolobus morio,Chocolate Wattled Bat,Mammals,Bats,Species,NotListed,NotListed,Chalinolobus morio
Cincloramphus cruralis,10508,Cincloramphus cruralis,Brown Songlark,Birds,Passerine birds,Species,NotListed,NotListed,Cincloramphus cruralis
Trichosurus vulpecula,11113,Trichosurus vulpecula,Common Brushtail Possum,Mammals,Mammals,Species,NotListed,NotListed,Trichosurus vulpecula
Petrochelidon ariel,10360,Petrochelidon ariel,Fairy Martin,Birds,Passerine birds,Species,NotListed,NotListed,Petrochelidon ariel
Threskiornis molucca,10179,Threskiornis molucca,Australian White Ibis,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Threskiornis moluccus
Todiramphus sanctus,10326,Todiramphus sanctus,Sacred Kingfisher,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Todiramphus sanctus
Philemon citreogularis,10646,Philemon citreogularis,Little Friarbird,Birds,Passerine birds,Species,NotListed,NotListed,Philemon citreogularis
Platalea flavipes,10182,Platalea flavipes,Yellow-billed Spoonbill,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Platalea flavipes
Philemon corniculatus,10645,Philemon corniculatus,Noisy Friarbird,Birds,Passerine birds,Species,NotListed,NotListed,Philemon corniculatus
Trichoglossus haematodus,10254,Trichoglossus haematodus,Rainbow Lorikeet,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Trichoglossus haematodus
Circus approximans,10219,Circus approximans,Swamp Harrier,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Circus approximans
Acritoscincus duperreyi,12682,Acritoscincus duperreyi,Eastern Three-lined Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Acritoscincus duperreyi
Phaps elegans,10035,Phaps elegans,Brush Bronzewing,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Phaps elegans
Austrelaps superbus,12973,Austrelaps superbus,Lowland Copperhead,Reptiles,Reptiles,Species,NotListed,NotListed,Austrelaps superbus
Vanellus tricolor,10135,Vanellus tricolor,Banded Lapwing,Birds,Waders,Species,NotListed,NotListed,Vanellus tricolor
Lampropholis delicata,12450,Lampropholis delicata,Delicate Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Lampropholis delicata
Taeniopygia guttata,10653,Taeniopygia guttata,Zebra Finch,Birds,Passerine birds,Species,NotListed,NotListed,Taeniopygia guttata
Geocrinia victoriana,13033,Geocrinia victoriana,Victorian Smooth Froglet,Amphibians,Amphibians,Species,NotListed,NotListed,Geocrinia victoriana
Pogona barbata,12177,Pogona barbata,Bearded Dragon,Reptiles,Reptiles,Species,Victoria,Vulnerable,Pogona barbata
Ptilonorhynchus violaceus,10679,Ptilonorhynchus violaceus,Satin Bowerbird,Birds,Passerine birds,Species,NotListed,NotListed,Ptilonorhynchus violaceus
Drysdalia coronoides,12665,Drysdalia coronoides,White-lipped Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Drysdalia coronoides
Niveoscincus coventryi,12458,Niveoscincus coventryi,Coventry's Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Carinascincus coventryi
Trichosurus cunninghami,11115,Trichosurus cunninghami,Mountain Brushtail Possum,Mammals,Mammals,Species,NotListed,NotListed,Trichosurus cunninghami
Austrelaps ramsayi,12972,Austrelaps ramsayi,Highland Copperhead,Reptiles,Reptiles,Species,NotListed,NotListed,Austrelaps ramsayi
Rattus fuscipes,11395,Rattus fuscipes,Bush Rat,Mammals,Mammals,Species,NotListed,NotListed,Rattus fuscipes
Platalea regia,10181,Platalea regia,Royal Spoonbill,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Platalea regia
Cinclosoma punctatum,10436,Cinclosoma punctatum,Spotted Quail-thrush,Birds,Passerine birds,Species,NotListed,NotListed,Cinclosoma punctatum
Eurostopodus mystacalis,10330,Eurostopodus mystacalis,White-throated Nightjar,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Eurostopodus mystacalis
Rattus lutreolus,11398,Rattus lutreolus,Swamp Rat,Mammals,Mammals,Species,NotListed,NotListed,Rattus lutreolus
Psephotus varius,10296,Psephotus varius,Mulga Parrot,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Psephotellus varius
Hemiergis decresiensis,12441,Hemiergis decresiensis,Three-toed Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Hemiergis decresiensis
Pogona vitticeps,12204,Pogona vitticeps,Central Bearded Dragon,Reptiles,Reptiles,Species,NotListed,NotListed,Pogona vitticeps
Pygopus lepidopodus,12174,Pygopus lepidopodus,Common Scaly-foot,Reptiles,Reptiles,Species,NotListed,NotListed,Pygopus lepidopodus
Ctenophorus pictus,12199,Ctenophorus pictus,Painted Dragon,Reptiles,Reptiles,Species,NotListed,NotListed,Ctenophorus pictus
Ctenophorus fordi,12185,Ctenophorus fordi,Mallee Dragon,Reptiles,Reptiles,Species,NotListed,NotListed,Ctenophorus fordi
Eurostopodus argus,10331,Eurostopodus argus,Spotted Nightjar,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Eurostopodus argus
Stipiturus malachurus,10526,Stipiturus malachurus,Southern Emu-wren,Birds,Passerine birds,Species,NotListed,NotListed,Stipiturus malachurus
Stagonopleura bella,10650,Stagonopleura bella,Beautiful Firetail,Birds,Passerine birds,Species,NotListed,NotListed,Stagonopleura bella
Todiramphus pyrropygia pyrropygia,10325,Todiramphus pyrropygia pyrropygia,Red-backed Kingfisher,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Todiramphus pyrrhopygius
Circus assimilis,10218,Circus assimilis,Spotted Harrier,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Circus assimilis
Sericornis magnirostris,10494,Sericornis magnirostris,Large-billed Scrubwren,Birds,Passerine birds,Species,NotListed,NotListed,Sericornis magnirostra
Pseudonaja aspidorhyncha,12698,Pseudonaja aspidorhyncha,Patch-nosed Brown Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Pseudonaja aspidorhyncha
Niveoscincus metallicus,12462,Niveoscincus metallicus,Metallic Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Carinascincus metallicus
Chelodina longicollis,5134,Chelodina longicollis,Eastern Snake-necked Turtle,Reptiles,Reptiles,Species,NotListed,NotListed,Chelodina longicollis
Geocrinia laevis,13029,Geocrinia laevis,Southern Smooth Froglet,Amphibians,Amphibians,Species,NotListed,NotListed,Geocrinia laevis
Acritoscincus platynotus,12464,Acritoscincus platynotus,Red-throated Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Acritoscincus platynotus
Taeniopygia bichenovii,10655,Taeniopygia bichenovii,Double-barred Finch,Birds,Passerine birds,Species,NotListed,NotListed,Taeniopygia bichenovii
Larus dominicanus,10981,Larus dominicanus,Kelp Gull,Birds,Waders,Species,NotListed,NotListed,Larus dominicanus
Cinclosoma castanotus,10437,Cinclosoma castanotus,Chestnut Quail-thrush,Birds,Passerine birds,Species,NotListed,NotListed,Cinclosoma castanotum
Numenius madagascariensis,10149,Numenius madagascariensis,Eastern Curlew,Birds,Waders,Species,Australia,Critically Endangered,Numenius madagascariensis
Chlidonias leucopterus,10109,Chlidonias leucopterus,White-winged Black Tern,Birds,Waders,Species,NotListed,NotListed,Chlidonias leucopterus
Haematopus longirostris,10130,Haematopus longirostris,Pied Oystercatcher,Birds,Waders,Species,NotListed,NotListed,Haematopus longirostris
Chlidonias hybridus javanicus,10110,Chlidonias hybridus javanicus,Whiskered Tern,Birds,Waders,Species,NotListed,NotListed,Chlidonias hybrida
Hemiergis peronii,12446,Hemiergis peronii,Four-toed Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Hemiergis peronii
Numenius phaeopus,10150,Numenius phaeopus,Whimbrel,Birds,Waders,Species,Victoria,Endangered,Numenius phaeopus
Pluvialis fulva,10137,Pluvialis fulva,Pacific Golden Plover,Birds,Waders,Species,Victoria,Vulnerable,Pluvialis fulva
Larus pacificus pacificus,60126,Larus pacificus pacificus,Pacific Gull,Birds,Waders,Species,NotListed,NotListed,Larus pacificus
Haematopus fuliginosus,10131,Haematopus fuliginosus,Sooty Oystercatcher,Birds,Waders,Species,NotListed,NotListed,Haematopus fuliginosus
Pluvialis squatarola,10136,Pluvialis squatarola,Grey Plover,Birds,Waders,Species,Victoria,Vulnerable,Pluvialis squatarola
Trichoglossus chlorolepidotus,10256,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Trichoglossus chlorolepidotus
Hirundo neoxena,10357,Hirundo neoxena,Welcome Swallow,Birds,Passerine birds,Species,NotListed,NotListed,Hirundo neoxena
Eolophus roseicapillus,10273,Eolophus roseicapillus,Galah,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Eolophus roseicapilla
Podargus strigoides,10313,Podargus strigoides,Tawny Frogmouth,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Podargus strigoides
Ocyphaps lophotes,10043,Ocyphaps lophotes,Crested Pigeon,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Ocyphaps lophotes
Colluricincla harmonica,10408,Colluricincla harmonica,Grey Shrike-thrush,Birds,Passerine birds,Species,NotListed,NotListed,Colluricincla harmonica
Grallina cyanoleuca,10415,Grallina cyanoleuca,Magpie-lark,Birds,Passerine birds,Species,NotListed,NotListed,Grallina cyanoleuca
Zosterops lateralis,10574,Zosterops lateralis,Silvereye,Birds,Passerine birds,Species,NotListed,NotListed,Zosterops lateralis
Dacelo novaeguineae,10322,Dacelo novaeguineae,Laughing Kookaburra,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Dacelo novaeguineae
Tadarida australis,11324,Tadarida australis,White-striped Freetail Bat,Mammals,Bats,Species,NotListed,NotListed,Austronomus australis
Chenonetta jubata,10202,Chenonetta jubata,Australian Wood Duck,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Chenonetta jubata
Elanus axillaris,10232,Elanus axillaris,Black-shouldered Kite,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Elanus axillaris
Aquila audax,10224,Aquila audax,Wedge-tailed Eagle,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Aquila audax
Neochmia temporalis,10662,Neochmia temporalis,Red-browed Finch,Birds,Passerine birds,Species,NotListed,NotListed,Neochmia temporalis
Daphoenositta chrysoptera,10549,Daphoenositta chrysoptera,Varied Sittella,Birds,Passerine birds,Species,NotListed,NotListed,Daphoenositta chrysoptera
Notechis scutatus,12681,Notechis scutatus,Tiger Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Notechis scutatus
Anthus novaeseelandiae,10647,Anthus novaeseelandiae,Australasian Pipit,Birds,Passerine birds,Species,NotListed,NotListed,Anthus novaeseelandiae
Acanthorhynchus tenuirostris,10591,Acanthorhynchus tenuirostris,Eastern Spinebill,Birds,Passerine birds,Species,NotListed,NotListed,Acanthorhynchus tenuirostris
Corcorax melanorhamphos,10693,Corcorax melanorhamphos,White-winged Chough,Birds,Passerine birds,Species,NotListed,NotListed,Corcorax melanorhamphos
Microeca fascinans,10377,Microeca fascinans,Jacky Winter,Birds,Passerine birds,Species,NotListed,NotListed,Microeca fascinans
Falcunculus frontatus,10416,Falcunculus frontatus,Crested Shrike-tit,Birds,Passerine birds,Species,NotListed,NotListed,Falcunculus frontatus
Hieraaetus morphnoides,10225,Hieraaetus morphnoides,Little Eagle,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Hieraaetus morphnoides
Oriolus sagittatus,10671,Oriolus sagittatus,Olive-backed Oriole,Birds,Passerine birds,Species,NotListed,NotListed,Oriolus sagittatus
Dicaeum hirundinaceum,10564,Dicaeum hirundinaceum,Mistletoebird,Birds,Passerine birds,Species,NotListed,NotListed,Dicaeum hirundinaceum
Aegotheles cristatus,10317,Aegotheles cristatus,Australian Owlet-nightjar,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Aegotheles cristatus
Fulica atra,10059,Fulica atra,Eurasian Coot,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Fulica atra
Haliastur sphenurus,10228,Haliastur sphenurus,Whistling Kite,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Haliastur sphenurus
Tachyglossus aculeatus,11003,Tachyglossus aculeatus,Short-beaked Echidna,Mammals,Mammals,Species,NotListed,NotListed,Tachyglossus aculeatus
Eopsaltria australis,10392,Eopsaltria australis,Eastern Yellow Robin,Birds,Passerine birds,Species,NotListed,NotListed,Eopsaltria australis
Wallabia bicolor,11242,Wallabia bicolor,Black Wallaby,Mammals,Mammals,Species,NotListed,NotListed,Wallabia bicolor
Porphyrio porphyrio,10058,Porphyrio porphyrio,Purple Swamphen,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Porphyrio porphyrio
Alisterus scapularis,10281,Alisterus scapularis,Australian King-Parrot,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Alisterus scapularis
Lalage sueurii,10430,Lalage sueurii,White-winged Triller,Birds,Passerine birds,Species,NotListed,NotListed,Lalage sueurii
Gallinula tenebrosa,10056,Gallinula tenebrosa,Dusky Moorhen,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Gallinula tenebrosa
Pseudechis porphyriacus,12693,Pseudechis porphyriacus,Red-bellied Black Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Pseudechis porphyriacus
Merops ornatus,10329,Merops ornatus,Rainbow Bee-eater,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Merops ornatus
Nymphicus hollandicus,10274,Nymphicus hollandicus,Cockatiel,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Nymphicus hollandicus
Microcarbo melanoleucos,10100,Microcarbo melanoleucos,Little Pied Cormorant,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Microcarbo melanoleucos
Tribonyx ventralis,10055,Tribonyx ventralis,Black-tailed Native-hen,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Tribonyx ventralis
Acanthagenys rufogularis,10640,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Acanthagenys rufogularis
Cygnus atratus,10203,Cygnus atratus,Black Swan,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Cygnus atratus
Dromaius novaehollandiae,10001,Dromaius novaehollandiae,Emu,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Dromaius novaehollandiae
Cormobates leucophaeus,10558,Cormobates leucophaeus,White-throated Treecreeper,Birds,Passerine birds,Species,NotListed,NotListed,Cormobates leucophaea
Acrocephalus stentoreus,10524,Acrocephalus stentoreus,Clamorous Reed Warbler,Birds,Passerine birds,Species,NotListed,NotListed,Acrocephalus stentoreus
Cheramoeca leucosternus,10358,Cheramoeca leucosternus,White-backed Swallow,Birds,Passerine birds,Species,NotListed,NotListed,Cheramoeca leucosterna
Apus pacificus,10335,Apus pacificus,Fork-tailed Swift,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Apus pacificus
Mirafra javanica,10648,Mirafra javanica,Horsfield's Bushlark,Birds,Passerine birds,Species,NotListed,NotListed,Mirafra javanica
Pseudocheirus peregrinus,11129,Pseudocheirus peregrinus,Common Ringtail Possum,Mammals,Mammals,Species,NotListed,NotListed,Pseudocheirus peregrinus
Hirundapus caudacutus,10334,Hirundapus caudacutus,White-throated Needletail,Birds,Other Non-passerine birds,Species,Australia,Vulnerable,Hirundapus caudacutus
Milvus migrans,10229,Milvus migrans,Black Kite,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Milvus migrans
Elseyornis melanops,10144,Elseyornis melanops,Black-fronted Dotterel,Birds,Waders,Species,NotListed,NotListed,Elseyornis melanops
Phascolarctos cinereus,11162,Phascolarctos cinereus,Koala,Mammals,Mammals,Species,NotListed,NotListed,Phascolarctos cinereus
Poliocephalus poliocephalus,10062,Poliocephalus poliocephalus,Hoary-headed Grebe,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Poliocephalus poliocephalus
Anepischtos maccoyi,12444,Anepischtos maccoyi,McCoy's Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Anepischetosia maccoyi
Aphelocephala leucopsis,10466,Aphelocephala leucopsis,Southern Whiteface,Birds,Passerine birds,Species,NotListed,NotListed,Aphelocephala leucopsis
Leucosarcia melanoleuca,10044,Leucosarcia melanoleuca,Wonga Pigeon,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Leucosarcia melanoleuca
Vombatus ursinus,11165,Vombatus ursinus,Common Wombat,Mammals,Mammals,Species,NotListed,NotListed,Vombatus ursinus
Saproscincus mustelinus,12452,Saproscincus mustelinus,Weasel Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Saproscincus mustelinus
Falsistrellus tasmaniensis,11372,Falsistrellus tasmaniensis,Eastern False Pipistrelle,Mammals,Bats,Species,NotListed,NotListed,Falsistrellus tasmaniensis
Entomyzon cyanotis,10641,Entomyzon cyanotis,Blue-faced Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Entomyzon cyanotis
Smicrornis brevirostris,10465,Smicrornis brevirostris,Weebill,Birds,Passerine birds,Species,NotListed,NotListed,Smicrornis brevirostris
Melopsittacus undulatus,10310,Melopsittacus undulatus,Budgerigar,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Melopsittacus undulatus
Anhinga novaehollandiae,10101,Anhinga novaehollandiae,Darter,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Anhinga novaehollandiae
Megalurus gramineus,10522,Megalurus gramineus,Little Grassbird,Birds,Passerine birds,Species,NotListed,NotListed,Poodytes gramineus
Pelecanus conspicillatus,10106,Pelecanus conspicillatus,Australian Pelican,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Pelecanus conspicillatus
Tadorna tadornoides,10207,Tadorna tadornoides,Australian Shelduck,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Tadorna tadornoides
Malacorhynchus membranaceus,10213,Malacorhynchus membranaceus,Pink-eared Duck,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Malacorhynchus membranaceus
Menura novaehollandiae,10350,Menura novaehollandiae,Superb Lyrebird,Birds,Passerine birds,Species,NotListed,NotListed,Menura novaehollandiae
Ornithorhynchus anatinus,5136,Ornithorhynchus anatinus,Platypus,Mammals,Mammals,Species,Victoria,Vulnerable,Ornithorhynchus anatinus
Callocephalon fimbriatum,10268,Callocephalon fimbriatum,Gang-gang Cockatoo,Birds,Other Non-passerine birds,Species,Australia,Endangered,Callocephalon fimbriatum
Aythya australis,10215,Aythya australis,Hardhead,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Aythya australis
Psophodes olivaceus,10421,Psophodes olivaceus,Eastern Whipbird,Birds,Passerine birds,Species,NotListed,NotListed,Psophodes olivaceus
Menetia greyii,12519,Menetia greyii,Grey's Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Menetia greyii
Meliphaga lewinii,10605,Meliphaga lewinii,Lewin's Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Meliphaga lewinii
Rhinoplocephalus nigrescens,12650,Rhinoplocephalus nigrescens,Eastern Small-eyed Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Cryptophis nigrescens
Christinus marmoratus,12126,Christinus marmoratus,Marbled Gecko,Reptiles,Reptiles,Species,NotListed,NotListed,Christinus marmoratus
Eurystomus orientalis,10318,Eurystomus orientalis,Dollarbird,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Eurystomus orientalis
Acrobates pygmaeus,11147,Acrobates pygmaeus,Feathertail Glider,Mammals,Mammals,Species,NotListed,NotListed,Acrobates pygmaeus
Cryptoblepharus pannosus,12326,Cryptoblepharus pannosus,Carnaby's Wall Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Cryptoblepharus pannosus
Chroicocephalus novaehollandiae,10125,Chroicocephalus novaehollandiae,Silver Gull,Birds,Waders,Species,NotListed,NotListed,Larus novaehollandiae
Dendrocygna eytoni,10205,Dendrocygna eytoni,Plumed Whistling-Duck,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Dendrocygna eytoni
Zoothera lunulata,10779,Zoothera lunulata,Bassian Thrush,Birds,Passerine birds,Species,NotListed,NotListed,Zoothera lunulata
Recurvirostra novaehollandiae,10148,Recurvirostra novaehollandiae,Red-necked Avocet,Birds,Waders,Species,NotListed,NotListed,Recurvirostra novaehollandiae
Pycnoptilus floccosus,10506,Pycnoptilus floccosus,Pilotbird,Birds,Passerine birds,Species,Australia,Vulnerable,Pycnoptilus floccosus
Cisticola exilis,10525,Cisticola exilis,Golden-headed Cisticola,Birds,Passerine birds,Species,NotListed,NotListed,Cisticola exilis
Plectorhyncha lanceolata,10585,Plectorhyncha lanceolata,Striped Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Plectorhyncha lanceolata
